ID, OrganisationTime, SendingToWorkersTime, WorkersWorkingTime, TotalTime
0,0.021936,0.003217,0.071201,0.097957
1,0.015400,0.003409,0.069806,0.090176
2,0.016826,0.003236,0.071617,0.093225
3,0.018417,0.003488,0.076562,0.100250
4,0.017527,0.003725,0.069688,0.092651
5,0.023243,0.003284,0.073011,0.101421
6,0.017857,0.003214,0.071174,0.093939
7,0.017650,0.003092,0.069848,0.092106
8,0.016595,0.003031,0.076373,0.098133
9,0.018712,0.003029,0.070446,0.093865
10,0.016573,0.003432,0.068260,0.089960
11,0.020272,0.003067,0.070553,0.095555
12,0.015456,0.002746,0.070035,0.089709
13,0.017509,0.003254,0.071060,0.093779
14,0.020195,0.003247,0.069769,0.095077
15,0.018131,0.003068,0.072298,0.094895
16,0.020812,0.002994,0.070670,0.095891
17,0.016559,0.003155,0.070275,0.091534
18,0.019575,0.003317,0.070522,0.095434
19,0.018837,0.003096,0.071312,0.094955
20,0.017677,0.003599,0.072014,0.095143
21,0.019365,0.002485,0.069696,0.093283
22,0.018000,0.003443,0.066761,0.090319
23,0.021359,0.002604,0.072630,0.098127
24,0.019858,0.002917,0.069298,0.093828
25,0.019105,0.003002,0.069609,0.093409
26,0.018823,0.003028,0.072330,0.095997
27,0.017727,0.003363,0.070344,0.092977
28,0.019680,0.003545,0.067722,0.092834
29,0.017507,0.003247,0.069524,0.091866
30,0.019167,0.002773,0.066883,0.090557
31,0.019631,0.002378,0.069032,0.092441
32,0.016741,0.003055,0.073555,0.095008
33,0.016972,0.002921,0.071814,0.093261
34,0.019710,0.002390,0.069775,0.093522
35,0.014655,0.003306,0.072612,0.092165
36,0.020025,0.003305,0.071402,0.096608
37,0.016602,0.003269,0.070725,0.092407
38,0.015437,0.003229,0.088054,0.108081
39,0.018900,0.003996,0.069373,0.093693
40,0.019742,0.003485,0.070011,0.094943
41,0.015652,0.003233,0.072237,0.092787
42,0.020119,0.002502,0.070353,0.094726
43,0.020212,0.002606,0.072975,0.097716
44,0.017036,0.002530,0.074798,0.095730
45,0.019612,0.003029,0.072760,0.096783
46,0.020006,0.002531,0.072008,0.095975
47,0.018901,0.003058,0.079086,0.102423
48,0.019754,0.002559,0.071545,0.095602
49,0.019778,0.003275,0.070215,0.094817
50,0.017319,0.002951,0.070386,0.092295
51,0.016161,0.003216,0.081619,0.103002
52,0.019167,0.003528,0.069286,0.094328
53,0.019342,0.003509,0.079128,0.104248
54,0.017531,0.002714,0.073930,0.095819
55,0.014411,0.002480,0.070139,0.088693
56,0.016941,0.003439,0.074088,0.096173
57,0.018587,0.002227,0.069853,0.092565
58,0.020260,0.003192,0.068823,0.094113
59,0.020294,0.003029,0.071057,0.096359
60,0.013971,0.003309,0.071228,0.090197
61,0.020564,0.003269,0.073665,0.099090
62,0.019808,0.003169,0.071051,0.095467
63,0.017288,0.002338,0.073187,0.094964
64,0.017002,0.002983,0.070004,0.091941
65,0.017297,0.002446,0.072266,0.093270
66,0.017554,0.003931,0.070074,0.093117
67,0.019901,0.003215,0.068899,0.093592
68,0.018009,0.002492,0.069421,0.091938
69,0.017921,0.002942,0.071000,0.093498
70,0.014790,0.002379,0.071447,0.090236
71,0.017812,0.002941,0.069031,0.091698
72,0.020498,0.003489,0.067025,0.092915
73,0.016547,0.002493,0.069458,0.090197
74,0.018957,0.002335,0.073079,0.095773
75,0.017132,0.002953,0.070009,0.091612
76,0.014623,0.002224,0.069685,0.088253
77,0.017445,0.004101,0.070664,0.094045
78,0.018474,0.003784,0.069376,0.093485
79,0.019430,0.003044,0.070817,0.095105
80,0.019974,0.003154,0.069848,0.094336
81,0.018564,0.003014,0.072518,0.095593
82,0.018081,0.002998,0.080326,0.102801
83,0.018154,0.002361,0.071740,0.093958
84,0.019582,0.002964,0.071010,0.095330
85,0.016252,0.003306,0.071067,0.092461
86,0.016255,0.002941,0.069848,0.091028
87,0.016219,0.002496,0.073420,0.093692
88,0.015275,0.003200,0.071440,0.091552
89,0.016164,0.002927,0.069343,0.090109
90,0.018094,0.003053,0.071651,0.094159
91,0.016058,0.003209,0.073477,0.094407
92,0.013164,0.002356,0.081893,0.099275
93,0.020495,0.003313,0.070778,0.096008
94,0.014536,0.002337,0.076370,0.094650
95,0.018478,0.003299,0.077900,0.101341
96,0.017748,0.002987,0.070841,0.093265
97,0.020236,0.002618,0.068873,0.093622
98,0.017887,0.003309,0.069485,0.092470
99,0.023842,0.003480,0.071561,0.100393
