ID, OrganisationTime, SendingToWorkersTime, WorkersWorkingTime, TotalTime
0,0.039962,0.002963,0.124986,0.169251
1,0.033245,0.002384,0.156343,0.193465
2,0.020856,0.001844,0.072954,0.096962
3,0.027043,0.002394,0.062685,0.093386
4,0.020987,0.008393,0.056307,0.086668
5,0.021197,0.002373,0.058552,0.083426
6,0.021410,0.002608,0.076048,0.101580
7,0.023396,0.002946,0.074281,0.101929
8,0.022704,0.002416,0.068416,0.094832
9,0.025745,0.002509,0.062857,0.092388
10,0.031888,0.002042,0.068049,0.103825
11,0.029137,0.002467,0.064292,0.097405
12,0.028922,0.002370,0.063824,0.096411
13,0.020722,0.001737,0.057738,0.081486
14,0.024535,0.002396,0.098417,0.126687
15,0.021910,0.002140,0.057369,0.082684
16,0.022376,0.002626,0.078611,0.104908
17,0.030078,0.002389,0.058240,0.092002
18,0.022194,0.002427,0.061595,0.087681
19,0.019581,0.002388,0.062524,0.091649
20,0.024410,0.002759,0.060215,0.088686
21,0.034673,0.009325,0.082318,0.127594
22,0.031149,0.002386,0.059230,0.094011
23,0.027648,0.002781,0.074557,0.106304
24,0.024480,0.002593,0.073616,0.101975
25,0.038837,0.002594,0.060976,0.103341
26,0.033165,0.004775,0.058392,0.097419
27,0.021714,0.002593,0.060584,0.086191
28,0.026851,0.002174,0.058440,0.088411
29,0.025359,0.005660,0.059436,0.091763
30,0.022881,0.002425,0.068563,0.095159
31,0.018910,0.002014,0.074931,0.096846
32,0.024704,0.002731,0.061833,0.090801
33,0.024998,0.002609,0.093692,0.122566
34,0.030860,0.002353,0.069655,0.104141
35,0.024315,0.002197,0.078637,0.106384
36,0.021055,0.002616,0.058298,0.083240
37,0.024021,0.002679,0.070042,0.097658
38,0.022235,0.002668,0.104196,0.130088
39,0.025986,0.002646,0.058861,0.088758
40,0.023025,0.001814,0.070556,0.096663
41,0.023256,0.002372,0.061738,0.088795
42,0.020183,0.002830,0.063996,0.088457
43,0.019100,0.002491,0.058571,0.081445
44,0.023151,0.002659,0.064669,0.091777
45,0.024139,0.002366,0.058594,0.086382
46,0.021294,0.002640,0.069901,0.095199
47,0.021700,0.002620,0.058771,0.084358
48,0.026946,0.002980,0.057986,0.088848
49,0.029544,0.002443,0.082082,0.115366
50,0.029493,0.002676,0.063574,0.097020
51,0.023774,0.002701,0.057724,0.085669
52,0.017894,0.002918,0.062551,0.084731
53,0.031204,0.002346,0.057636,0.092471
54,0.026222,0.002412,0.061293,0.103531
55,0.040998,0.010093,0.059473,0.111831
56,0.025644,0.005260,0.056511,0.088684
57,0.023327,0.002584,0.059467,0.086668
58,0.018856,0.002659,0.059588,0.082392
59,0.029549,0.002869,0.058772,0.092456
60,0.020321,0.002127,0.060789,0.084593
61,0.019021,0.002949,0.074001,0.097339
62,0.031256,0.002389,0.055949,0.090736
63,0.030833,0.002488,0.057418,0.092002
64,0.025687,0.002868,0.057160,0.088009
65,0.026179,0.002559,0.061301,0.091555
66,0.023866,0.002619,0.058477,0.086591
67,0.023814,0.002372,0.056316,0.083911
68,0.022828,0.002461,0.084165,0.110728
69,0.029488,0.002371,0.056221,0.089415
70,0.022451,0.003078,0.068588,0.095667
71,0.027398,0.002577,0.059644,0.090578
72,0.023161,0.002669,0.078641,0.106106
73,0.031603,0.002407,0.059074,0.094348
74,0.022749,0.002617,0.059455,0.086122
75,0.031738,0.002732,0.080892,0.116741
76,0.021634,0.002622,0.069965,0.095488
77,0.022445,0.004089,0.062763,0.090603
78,0.024472,0.002672,0.061992,0.090413
79,0.021657,0.001859,0.059867,0.084424
80,0.025248,0.002706,0.057186,0.086446
81,0.023374,0.002416,0.059786,0.086869
82,0.023942,0.002429,0.063164,0.090824
83,0.028655,0.002680,0.062990,0.095637
84,0.022995,0.002630,0.069751,0.096681
85,0.023418,0.002778,0.092298,0.119860
86,0.027192,0.002349,0.058083,0.088892
87,0.021829,0.002576,0.070193,0.095901
88,0.021967,0.003114,0.058614,0.084989
89,0.025130,0.002443,0.059012,0.088035
90,0.027449,0.002575,0.059520,0.090842
91,0.023394,0.002412,0.070359,0.097530
92,0.022771,0.002396,0.071057,0.097601
93,0.022405,0.001918,0.081450,0.107070
94,0.024353,0.002570,0.063455,0.091480
95,0.020427,0.002206,0.081464,0.105362
96,0.021291,0.001820,0.063163,0.087540
97,0.019838,0.001734,0.080477,0.103315
98,0.030464,0.002573,0.096371,0.130838
99,0.025884,0.002377,0.059617,0.089161
