ID, OrganisationTime, SendingToWorkersTime, WorkersWorkingTime, TotalTime
0,0.019766,0.007191,0.149296,0.179347
1,0.010906,0.007082,0.142959,0.164604
2,0.010774,0.006601,0.143300,0.164377
3,0.013235,0.006269,0.157270,0.180552
4,0.010166,0.007818,0.157308,0.178276
5,0.020388,0.006340,0.142767,0.173032
6,0.010135,0.006287,0.143001,0.163332
7,0.009678,0.005062,0.144687,0.163084
8,0.010321,0.007227,0.143002,0.163487
9,0.012062,0.006687,0.145850,0.168303
10,0.009988,0.005945,0.148425,0.168070
11,0.009880,0.005720,0.149607,0.168963
12,0.017363,0.005328,0.142512,0.168858
13,0.010641,0.005752,0.151027,0.171050
14,0.010485,0.006448,0.149737,0.170317
15,0.013438,0.005896,0.144363,0.166313
16,0.011590,0.007526,0.155640,0.178407
17,0.010452,0.006697,0.149343,0.170156
18,0.010771,0.005316,0.147757,0.167491
19,0.009885,0.006155,0.143142,0.162786
20,0.009734,0.005643,0.146800,0.165909
21,0.009954,0.006053,0.147786,0.167430
22,0.010477,0.006692,0.149542,0.170330
23,0.012696,0.005559,0.156822,0.178674
24,0.009716,0.005095,0.150423,0.168792
25,0.012907,0.005351,0.143074,0.164769
26,0.009871,0.005096,0.147806,0.166430
27,0.018114,0.008292,0.153848,0.183562
28,0.010566,0.005996,0.145446,0.165706
29,0.010002,0.005184,0.146217,0.164859
30,0.010222,0.006959,0.145521,0.166513
31,0.011669,0.006556,0.151184,0.173028
32,0.010535,0.007912,0.142257,0.164341
33,0.010873,0.006189,0.140818,0.161269
34,0.011631,0.005279,0.144464,0.164990
35,0.009985,0.004779,0.144282,0.162389
36,0.011632,0.007548,0.157860,0.180319
37,0.012808,0.005371,0.145767,0.167549
38,0.012076,0.005603,0.159864,0.180848
39,0.011091,0.005070,0.149680,0.169113
40,0.010164,0.006447,0.150989,0.170886
41,0.010379,0.006251,0.157779,0.177734
42,0.011398,0.006746,0.151011,0.172831
43,0.013130,0.006918,0.145720,0.169384
44,0.011138,0.006705,0.147563,0.168452
45,0.010065,0.006633,0.146317,0.166509
46,0.011987,0.005597,0.143502,0.164831
47,0.010441,0.005378,0.143584,0.162715
48,0.009463,0.005095,0.147529,0.165648
49,0.009951,0.006945,0.143445,0.163602
50,0.012072,0.005210,0.143571,0.164131
51,0.009939,0.005558,0.144283,0.163409
52,0.009688,0.006859,0.145735,0.165953
53,0.009741,0.005032,0.147073,0.166503
54,0.010334,0.006508,0.148014,0.168533
55,0.010911,0.006553,0.147136,0.168546
56,0.010481,0.006420,0.151075,0.171435
57,0.010916,0.005254,0.151718,0.170987
58,0.012086,0.007113,0.146199,0.168671
59,0.010023,0.005411,0.151377,0.170609
60,0.011221,0.007111,0.149749,0.171673
61,0.009651,0.006786,0.144321,0.164498
62,0.009705,0.005111,0.147016,0.165449
63,0.009510,0.005868,0.145436,0.164121
64,0.009843,0.006384,0.144676,0.164558
65,0.009547,0.006462,0.146966,0.166429
66,0.010947,0.006549,0.149025,0.170027
67,0.009952,0.006662,0.148349,0.179892
68,0.017567,0.006573,0.154702,0.182628
69,0.009753,0.004987,0.141627,0.160357
70,0.012377,0.004947,0.154507,0.175585
71,0.009615,0.005242,0.144710,0.163139
72,0.017845,0.006179,0.153988,0.181198
73,0.010447,0.007589,0.148848,0.170014
74,0.010000,0.006236,0.152575,0.172504
75,0.010681,0.007107,0.154300,0.175175
76,0.011015,0.005828,0.143675,0.163827
77,0.010223,0.005968,0.149251,0.168710
78,0.010447,0.007595,0.142520,0.163762
79,0.010408,0.005859,0.149796,0.169433
80,0.009560,0.005097,0.147121,0.165043
81,0.009543,0.005440,0.161790,0.180013
82,0.010824,0.005408,0.146203,0.165931
83,0.010816,0.006006,0.153341,0.173782
84,0.009704,0.006387,0.150155,0.169780
85,0.010821,0.005516,0.151148,0.171098
86,0.011322,0.006703,0.153694,0.175360
87,0.009689,0.006293,0.148371,0.168000
88,0.010152,0.006316,0.147665,0.167544
89,0.010052,0.005143,0.146968,0.165858
90,0.009891,0.005597,0.149787,0.168327
91,0.010797,0.005826,0.147331,0.167141
92,0.010271,0.005427,0.149524,0.168878
93,0.010182,0.006458,0.146483,0.166748
94,0.010347,0.006116,0.146252,0.166344
95,0.009718,0.006735,0.141986,0.162060
96,0.010484,0.006758,0.148536,0.169299
97,0.010153,0.005913,0.147908,0.167242
98,0.010177,0.005287,0.154711,0.173446
99,0.010502,0.005899,0.146623,0.166712
